HTML_PARTS_IN_APROLE_ID	APROLE_ID	HTML_PARTS_ID	AUTH_KIND	VERSION	IS_DELETED	CREATED_BY	CREATED_AT	UPDATED_BY	UPDATED_AT
1000001	1000001	1000001	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000002	1000001	1000101	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000003	1000001	1000201	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000004	1000001	1000701	read	1	0	data_loader	2024-09-01 00:00:00	data_loader	2024-09-01 00:00:00
1000005	1000001	1001101	read	1	0	data_loader	2024-11-25 00:00:00	data_loader	2024-11-25 00:00:00
1000006	1000001	1001201	edit	1	0	data_loader	2026-07-31 00:00:00	data_loader	2026-07-31 00:00:00
1000007	1000001	1001301	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1000008	1000001	1001401	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1000009	1000001	1001501	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1000010	1000001	1001601	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1001001	1000101	1000001	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1001002	1000101	1000101	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1001003	1000101	1000201	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1001004	1000101	1000701	read	1	0	data_loader	2024-09-01 00:00:00	data_loader	2024-09-01 00:00:00
1001005	1000101	1001101	read	1	0	data_loader	2024-11-25 00:00:00	data_loader	2024-11-25 00:00:00
1001006	1000101	1001201	edit	1	0	data_loader	2026-07-31 00:00:00	data_loader	2026-07-31 00:00:00
1001007	1000101	1001301	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1001008	1000101	1001401	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1001009	1000101	1001501	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1001010	1000101	1001601	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1002001	1000201	1000001	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1002002	1000201	1000101	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1002003	1000201	1000201	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1002004	1000201	1000701	read	1	0	data_loader	2024-09-01 00:00:00	data_loader	2024-09-01 00:00:00
1002005	1000201	1001201	edit	1	0	data_loader	2026-07-31 00:00:00	data_loader	2026-07-31 00:00:00
1002006	1000201	1001301	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1002007	1000201	1001401	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1002008	1000201	1001501	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1002009	1000201	1001601	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1003001	1000301	1000001	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1003002	1000301	1000101	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1003003	1000301	1000201	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1003004	1000301	1000301	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1003005	1000301	1000401	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1003006	1000301	1000501	edit	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1003007	1000301	1000601	edit	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1003008	1000301	1000701	read	1	0	data_loader	2024-09-01 00:00:00	data_loader	2024-09-01 00:00:00
1003009	1000301	1000801	edit	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1003010	1000301	1000901	read	1	0	data_loader	2024-09-23 00:00:00	data_loader	2024-09-23 00:00:00
1003011	1000301	1001001	edit	1	0	data_loader	2024-11-17 00:00:00	data_loader	2024-11-17 00:00:00
1003012	1000301	1001101	read	1	0	data_loader	2024-11-25 00:00:00	data_loader	2024-11-25 00:00:00
1003013	1000301	1001201	edit	1	0	data_loader	2026-07-31 00:00:00	data_loader	2026-07-31 00:00:00
1003014	1000301	1001301	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1003015	1000301	1001401	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1003016	1000301	1001501	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1003017	1000301	1001601	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1004001	1000401	1000001	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1004002	1000401	1000101	read	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1004003	1000401	1000201	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1004004	1000401	1000301	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1004005	1000401	1000401	edit	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1004006	1000401	1000501	edit	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1004007	1000401	1000601	edit	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1004008	1000401	1000701	read	1	0	data_loader	2024-09-01 00:00:00	data_loader	2024-09-01 00:00:00
1004009	1000401	1000801	edit	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1004010	1000401	1000901	read	1	0	data_loader	2024-09-23 00:00:00	data_loader	2024-09-23 00:00:00
1004011	1000401	1001001	edit	1	0	data_loader	2024-11-17 00:00:00	data_loader	2024-11-17 00:00:00
1004012	1000401	1001101	read	1	0	data_loader	2024-11-25 00:00:00	data_loader	2024-11-25 00:00:00
1004013	1000401	1001201	edit	1	0	data_loader	2026-07-31 00:00:00	data_loader	2026-07-31 00:00:00
1004014	1000401	1001301	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1004015	1000401	1001401	edit	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1004016	1000401	1001501	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1004017	1000401	1001601	edit	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1004018	1000001	1001701	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004019	1000101	1001701	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004020	1000201	1001701	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004021	1000301	1001701	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004022	1000401	1001701	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004023	1000001	1001801	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004024	1000101	1001801	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004025	1000201	1001801	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004026	1000301	1001801	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004027	1000401	1001801	read	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1004028	1000201	1001901	edit	1	0	data_loader	2026-08-25 00:00:00	data_loader	2026-08-25 00:00:00
1004029	1000301	1001901	edit	1	0	data_loader	2026-08-25 00:00:00	data_loader	2026-08-25 00:00:00
1004030	1000401	1001901	edit	1	0	data_loader	2026-08-25 00:00:00	data_loader	2026-08-25 00:00:00
1004031	1000201	1002001	edit	1	0	data_loader	2026-08-25 00:00:00	data_loader	2026-08-25 00:00:00
1004032	1000301	1002001	edit	1	0	data_loader	2026-08-25 00:00:00	data_loader	2026-08-25 00:00:00
1004033	1000401	1002001	edit	1	0	data_loader	2026-08-25 00:00:00	data_loader	2026-08-25 00:00:00
1004034	1000201	1001101	read	1	0	data_loader	2026-08-21 00:00:00	data_loader	2026-08-21 00:00:00
