LNK_ID	LNK_NAME	URI_PATTERN_ID	IS_POST	LNK_GRP_ID	ORD_IN_GRP	VERSION	IS_DELETED	CREATED_BY	CREATED_AT	UPDATED_BY	UPDATED_AT
1000001	TOP	1000001	0	1000001	1	1	0	data_loader	2024-08-31 00:00:00	data_loader	2024-08-31 00:00:00
1000002	マイページ	1000201	0	1000001	2	1	0	data_loader	2024-08-31 00:00:00	data_loader	2024-08-31 00:00:00
1000101	DBメンテナンス	1000301	0	1000101	1	1	0	data_loader	2024-08-31 00:00:00	data_loader	2024-08-31 00:00:00
1000102	ページ編集	1001801	0	1000101	2	1	0	data_loader	2024-09-22 00:00:00	data_loader	2025-02-16 00:00:00
1000201	DB構成更新	1000601	0	1000201	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000202	DB構成取得	1000901	0	1000201	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000301	はい	1000701	1	1000301	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000302	いいえ	1000301	0	1000301	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000401	はい	1001001	1	1000401	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000402	いいえ	1000301	0	1000401	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000501	確定(新規レコード追加)	1001201	1	1000501	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1000502	レコード一覧に戻る	1001501	0	1000501	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1000601	確定(レコード削除)	1001301	1	1000601	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1000602	レコード一覧に戻る	1001501	0	1000601	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1000701	確定(レコード編集)	1001401	1	1000701	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1000702	レコード一覧に戻る	1001501	0	1000701	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1000801	DBメンテナンスに戻る	1000301	0	1000801	1	1	0	data_loader	2024-10-20 00:00:00	data_loader	2024-10-20 00:00:00
1000901	確定(新規ページ追加)	1001901	1	1000901	1	1	0	data_loader	2025-02-16 00:00:00	data_loader	2025-02-16 00:00:00
1000902	ページ編集に戻る	1001801	0	1000901	2	1	0	data_loader	2025-02-16 00:00:00	data_loader	2025-02-16 00:00:00
